credito,genero,educacao,estado_civil,idade,pgto_set,pgto_ago,pgto_jul,pgto_jun,pgto_mai,pgto_abr,fatura_set,fatura_ago,fatura_jul,pgto_amt_set,pgto_amt_ago,pgto_amt_jul,pgto_amt_jun,pgto_amt_mai,pgto_amt_abr,Y
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,2007,3582,0,3601,0,1820,1
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,17270,13281,15339,14307,37292,0,0
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,1718,1500,1000,1000,1000,716,1
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,0,2700,0,2225,1200,0,1
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,2300,0,150,200,200,160,1
20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,0,1200,1000,500,1000,0,0
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,1147,2000,2000,0,766,2303,0
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,8339,3394,12902,27000,0,68978,0
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,1411,1194,379,281,321,197,0
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,2272,722,867,1150,5263,5011,0
310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,13019,11128,8407,8599,6833,5987,1
210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,1500,1500,1000,500,2000,546,0
50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,780,390,780,216,864,0,390,0
290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,396,396,792,0,423,369,0
250000,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,17994,0,5469,5656,6811,3920,0
100000,1,2,1,27,-1,2,2,0,0,0,102349,96847,58824,3166,0,1330,1398,12,50000,0
80000,2,2,1,29,0,0,2,0,0,0,77883,81811,80250,5800,1000,600,400,1000,0,0
80000,2,3,2,35,0,-1,0,0,0,0,49608,12412,14873,12500,6500,3000,2000,3000,2000,0
50000,1,2,1,36,0,0,0,0,-1,-1,47790,18114,18250,2000,1000,2000,500,1000,20011,0
210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,1586,343,1586,343,3763,877,0,419,0
110000,2,3,3,31,0,0,0,0,0,0,89989,84229,79288,4000,5000,3000,3000,3000,8954,0
